,change,daily_sentiment_score,date
224,1.21,4.38288079098424,2024-10-17
225,1.07,12.987468266657913,2024-10-18
226,5.71,12.687352194312423,2024-10-21
227,-0.12,7.163872053872055,2024-10-22
228,-4.03,-2.5,2024-10-23
229,0.85,28.593215620774675,2024-10-24
230,1.13,10.852864583333336,2024-10-25
231,-1.02,6.651785714285712,2024-10-28
232,0.73,-2.240819879708768,2024-10-29
233,-1.91,1.7302004626828569,2024-10-30
234,-6.58,16.13863287250384,2024-10-31
235,2.64,1.3709578423120083,2024-11-01
236,0.65,8.920944807111402,2024-11-04
237,3.86,7.677256771006771,2024-11-05
238,5.7,2.5399596435310747,2024-11-06
239,3.27,17.843701996927805,2024-11-07
240,-1.25,6.833333333333331,2024-11-08
241,-2.37,6.120678115743905,2024-11-11
242,3.03,10.368504888942006,2024-11-12
243,-2.02,5.128600823045268,2024-11-13
244,0.49,6.7499278499278486,2024-11-14
245,-4.78,12.215166212388434,2024-11-15
246,-1.83,6.7590015804301515,2024-11-18
